Name,DSP.Project,KSSL.Project,Date,Collectors,UserPedonID,labsampleno,Layer_sequ,layerid,dsp_limslayer_id,Region/strata,Soil,Comparison,COND,Plot,Pedon,Plot ID,Crop,AgronFeat,Pedon_ID,Hor_sequ,hor_ID,Comp_layer,hor_desg,hor_top,hor_bottom,hor_thick,Moist,AggStab,Bgluc,Pom_C,Pom_N,Pom_S,POX_C,CaCarb,Ca_amextr,CEC_ph7,Mg_amextr,K_amextr,Na_extr,Tot_C,Tot_N,Tot_S,CEC_NH4OAc,Mehlich_P,Est_totOC,ph_h20,ph_Cacl2,EC_test,Clay,Sand,Silt,CF_labvol,Sum_bases,BS_NH4OAc,BS_sumBase,Eff_CEC,CEC_sumcation,extr_acid,sand_coarse,sand_fine,sand_medium,sand_vfine,sand_vcoarse,silt_fine,BD_core_fld,FM_core,BD_recon13,BD_recon_moist,BD_compcav,FM_compcav,FM_clod,BD_clod_13,surf_stab,25_stab,Total.C,Total.N,BD_other
OK_Kirkland,OK DSP 2011,C2012USOK031,11/1/2011,Dennis Alspach,S11OK103019,12N01688,1,S11OK103019-1,,none,Kirkland,Conventional Tillage,CT,4,4,CT4,"wheat, winter",CGC,CT4-4,1,CT4-4-1,1,Ap1,0,2,2,,17,44,0.3126706,0.00718614,0.00073328,294.18,,5.68,11.85,2.51,0.35,0,1.12,0.09,0,56.91,,1.12,5.02,4.44,0.11,18.5,6.2,75.3,1,8.5,72,51,9.2,16.8,8.2898089,0.1,4.59,0.36,1.06,0,18.63,,5.3254438,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,11/1/2011,Dennis Alspach,S11OK103019,12N01689,2,S11OK103019-2,,none,Kirkland,Conventional Tillage,CT,4,4,CT4,"wheat, winter",CGC,CT4-4,2,CT4-4-2,1,Ap2,2,38,36,,1,49,0.0644166,0,0,183.76,,5.56,11.89,2.45,0.11,0.05,0.81,0.1,0,55.9,,0.81,4.85,4.29,0.15,18.57,14.9,66.5,1,8.1,68,50,9.1,16.3,8.2498312,0.35,11.3,1.1,2.13,0,19.81,1.37918956,14.6031746,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,11/1/2011,Dennis Alspach,S11OK103019,12N01690,3,S11OK103019-3,,none,Kirkland,Conventional Tillage,CT,4,4,CT4,"wheat, winter",CGC,CT4-4,3,CT4-4-3,3,Bt1,38,73,35,,33,15,0.01664817,0,0,241.52,,18.19,31.05,11.29,0.4,2.42,0.77,0.06,0,55.61,,0.77,7.09,6.57,0.15,44.38,16,39.6,1,32.3,100,87,,37.2,4.9126525,0.18,1.65,0.72,13.44,0.02,24.33,1.47272727,24.691358,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,11/1/2011,Dennis Alspach,S11OK103020,12N01691,1,S11OK103020-1,,none,Kirkland,Conventional Tillage,CT,4,5,CT4,"wheat, winter",CGC,CT4-5,1,CT4-5-1,1,Ap1,0,2,2,,15,58,0.34181074,0.00535556,0.000787582,257.36,,5.23,11.67,2.42,0.4,0,1.16,0.09,0,54.96,,1.16,5.18,4.42,0.08,18.3,14.8,66.9,1,8,68,48,8.7,16.5,8.4770272,0.26,1.19,0.57,12.65,0,19.09,,5.0314465,,,,,,,5,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,11/1/2011,Dennis Alspach,S11OK103020,12N01692,2,S11OK103020-2,,none,Kirkland,Conventional Tillage,CT,4,5,CT4,"wheat, winter",CGC,CT4-5,2,CT4-5-2,1,Ap2,2,36,34,,2,8,0.09164247,0.0035147,0,183.91,,5.18,10.26,2.39,0.14,0.02,0.83,0.1,0,56.26,,0.83,4.66,4.15,0.17,17.55,13.7,68.8,1,7.7,75,46,9.1,16.8,9.125251,0.14,1.29,0.71,11.56,0,21.32,,,,,,,,,5,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,11/1/2011,Dennis Alspach,S11OK103020,12N01693,3,S11OK103020-3,,none,Kirkland,Conventional Tillage,CT,4,5,CT4,"wheat, winter",CGC,CT4-5,3,CT4-5-3,3,Bt1,36,69,33,,4,13,0.01713944,0,0,191.05,,17.98,30.53,11.27,0.38,2.86,0.74,0.06,0,55.63,,0.74,7.05,6.58,0.16,43.24,6.1,50.7,1,32.6,100,86,,37.8,5.2068377,0.19,0.7,0.38,4.72,0.06,24.9,1.25263158,26.8907563,,,,,,,5,4,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053026,12N01618,1,S11OK053026-1,,none,Kirkland,Conventional Tillage,CT,5,1,CT5,wheat,CGC,CT5-1,1,CT5-1-1,1,A1,0,2,2,,0,19,0.17458446,0,0.001462037,334.2,,6.27,15.95,4.99,0.74,0.27,1.01,0.1,0,54.59,,1.01,4.42,4.21,0.72,25.74,9.3,65,1,12.3,77,58,13.2,21.1,8.8225633,0.07,0.43,0.34,8.46,0.01,20.09,1.2265614,30.4597701,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053026,12N01619,2,S11OK053026-2,,none,Kirkland,Conventional Tillage,CT,5,1,CT5,wheat,CGC,CT5-1,2,CT5-1-2,1,A2,2,26,24,,16,15,0.03776704,0,0,262.64,,10.77,22.4,8.32,0.52,1.26,0.83,0.11,0,53.92,,0.83,5.99,5.34,0.16,34.86,7.3,57.8,1,20.9,93,77,,27.2,6.3348829,0.05,0.33,0.22,6.67,0.04,19.48,1.256,29.2993631,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053026,12N01620,3,S11OK053026-3,,none,Kirkland,Conventional Tillage,CT,5,1,CT5,wheat,CGC,CT5-1,3,CT5-1-3,3,Bt1,26,77,51,,16,11,0.02271773,0.00413565,0.000566527,190.55,0.3,15.77,32.2,13.48,0.58,3.16,0.67,0.12,0,55.2,,0.63,7.52,7.08,0.24,45.79,5,49.2,1,33.1,100,,,,3.1400914,0.06,0.28,0.12,4.41,0.05,21.66,1.274,29.6703297,,,,,,,6,5,,,
OK_Kirkland,OK DSP 2011,C2012USOK031,12/1/2011,"Alspach, Dennis, Hughes",S11OK053027,12N01621,1,S11OK053027-1,,none,Kirkland,Conventional Tillage,CT,5,2,CT5,wheat,CGC,CT5-2,1,CT5-2-1,1,A1,0,2,2,,0,19,0.18084775,0.00830291,0.001124352,333.64,,6.01,15.93,5,0.77,0.07,1.02,0.11,0,54.68,,1.02,4.42,4.18,0.52,25.73,10.5,63.8,1,11.9,75,55,13,21.7,9.7603455,0.07,0.55,0.24,9.61,0.01,19.81,1.2265614,26.4367816,,,,,,,6,5,,,
